"participantID","age","female","nonChinese","sesInc","sesLad","day","itemDisc1","itemDisc2","itemDisc3","itemDisc4","itemDisc5","itemDisc6","itemDisc7","itemDisc8","itemDisc9","itemDayCogFail01","itemDayCogFail02","itemDayCogFail03","itemDayCogFail04","itemDayCogFail05","itemDayCogFail06","itemDayCogFail07","itemDayCogFail08","itemDayCogFail09","itemDayCogFail10","itemDayCogFail11","itemDayCogFail12","itemDayCogFail13","itemDayStressorArgue","itemDayStressorAvoid","itemDayStressorWork","itemDayStressorHome","itemDayStressorDiscrimination","itemDayStressorNetwork","itemDayStressorOther","discrimination","dayCogFail","dayStressorExp","dayCogFail.m","dayStressorExp.m","age.c10","sesInc.c","sesLad.c","female.f","nonChinese.f","dayStressorExp.f"
"DISC-CF-2001",22,1,0,2,7,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.230769230769231,0,0.164835164835165,0.142857142857143,0.0139007960808346,-1.11604409063074,0.900183710961421,"YES","NO","NO"
"DISC-CF-2001",22,1,0,2,7,2,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.11111111111111,0.0769230769230769,1,0.164835164835165,0.142857142857143,0.0139007960808346,-1.11604409063074,0.900183710961421,"YES","NO","YES"
"DISC-CF-2001",22,1,0,2,7,3,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,0,0.164835164835165,0.142857142857143,0.0139007960808346,-1.11604409063074,0.900183710961421,"YES","NO","NO"
"DISC-CF-2001",22,1,0,2,7,4,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.0769230769230769,0,0.164835164835165,0.142857142857143,0.0139007960808346,-1.11604409063074,0.900183710961421,"YES","NO","NO"
"DISC-CF-2001",22,1,0,2,7,5,1,1,1,1,1,1,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.307692307692308,0,0.164835164835165,0.142857142857143,0.0139007960808346,-1.11604409063074,0.900183710961421,"YES","NO","NO"
"DISC-CF-2001",22,1,0,2,7,6,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.153846153846154,0,0.164835164835165,0.142857142857143,0.0139007960808346,-1.11604409063074,0.900183710961421,"YES","NO","NO"
"DISC-CF-2001",22,1,0,2,7,7,1,1,1,1,1,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.307692307692308,0,0.164835164835165,0.142857142857143,0.0139007960808346,-1.11604409063074,0.900183710961421,"YES","NO","NO"
"DISC-CF-2002",21,1,0,4,10,1,1,1,1,2,1,1,1,1,1,3,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.692307692307692,0,0.263736263736264,0,-0.0860992039191655,0.883955909369259,3.90018371096142,"YES","NO","NO"
"DISC-CF-2002",21,1,0,4,10,2,1,1,1,2,1,1,1,1,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.307692307692308,0,0.263736263736264,0,-0.0860992039191655,0.883955909369259,3.90018371096142,"YES","NO","NO"
"DISC-CF-2002",21,1,0,4,10,3,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1.11111111111111,0.230769230769231,0,0.263736263736264,0,-0.0860992039191655,0.883955909369259,3.90018371096142,"YES","NO","NO"
"DISC-CF-2002",21,1,0,4,10,4,1,1,1,2,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.307692307692308,0,0.263736263736264,0,-0.0860992039191655,0.883955909369259,3.90018371096142,"YES","NO","NO"
"DISC-CF-2002",21,1,0,4,10,5,1,1,1,2,1,1,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.230769230769231,0,0.263736263736264,0,-0.0860992039191655,0.883955909369259,3.90018371096142,"YES","NO","NO"
"DISC-CF-2002",21,1,0,4,10,6,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.0769230769230769,0,0.263736263736264,0,-0.0860992039191655,0.883955909369259,3.90018371096142,"YES","NO","NO"
"DISC-CF-2002",21,1,0,4,10,7,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,0,0.263736263736264,0,-0.0860992039191655,0.883955909369259,3.90018371096142,"YES","NO","NO"
"DISC-CF-2003",23,1,0,1,4,1,1,1,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.0769230769230769,0,0.043956043956044,0.285714285714286,0.113900796080834,-2.11604409063074,-2.09981628903858,"YES","NO","NO"
"DISC-CF-2003",23,1,0,1,4,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,0,0.043956043956044,0.285714285714286,0.113900796080834,-2.11604409063074,-2.09981628903858,"YES","NO","NO"
"DISC-CF-2003",23,1,0,1,4,3,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,0,0.043956043956044,0.285714285714286,0.113900796080834,-2.11604409063074,-2.09981628903858,"YES","NO","NO"
"DISC-CF-2003",23,1,0,1,4,4,1,1,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1.11111111111111,0.0769230769230769,1,0.043956043956044,0.285714285714286,0.113900796080834,-2.11604409063074,-2.09981628903858,"YES","NO","YES"
