"ID","age","age_c","age_group","Generic","GenOrder","Attribution","gender","Trial","Answer","Language"
"CG_102",6,-1.9275,67,"You","B",2,"F","Trial 1",1,"Specific"
"CG_100",6.08333333333333,-1.84416666666667,67,"We","B",2,"M","Trial 1",1,"Specific"
"CG_67",6.08333333333333,-1.84416666666667,67,"You","B",2,"M","Trial 1",1,"Specific"
"CG_78",6.16666666666667,-1.76083333333333,67,"You","B",2,"F","Trial 1",1,"Specific"
"CG_103",6.33333333333333,-1.59416666666667,67,"We","A",2,"M","Trial 1",1,"Generic"
"CG_37",6.33333333333333,-1.59416666666667,67,"We","B",2,"F","Trial 1",0,"Specific"
"CG_46",6.33333333333333,-1.59416666666667,67,"We","A",2,"M","Trial 1",1,"Generic"
"CG_57",6.33333333333333,-1.59416666666667,67,"You","A",2,"F","Trial 1",1,"Generic"
"CG_81",6.33333333333333,-1.59416666666667,67,"You","A",2,"F","Trial 1",1,"Generic"
"CG_20",6.41666666666667,-1.51083333333333,67,"You","B",2,"F","Trial 1",1,"Specific"
"CG_35",6.41666666666667,-1.51083333333333,67,"You","A",2,"F","Trial 1",1,"Generic"
"CG_66",6.41666666666667,-1.51083333333333,67,"We","A",2,"M","Trial 1",1,"Generic"
"CG_95",6.41666666666667,-1.51083333333333,67,"We","A",1,"M","Trial 1",1,"Generic"
"CG_98",6.41666666666667,-1.51083333333333,67,"You","B",2,"M","Trial 1",1,"Specific"
"CG_10",6.5,-1.4275,67,"You","B",2,"F","Trial 1",1,"Specific"
"CG_47",6.5,-1.4275,67,"You","B",2,"F","Trial 1",1,"Specific"
"CG_5",6.5,-1.4275,67,"You","A",2,"F","Trial 1",1,"Generic"
"CG_99",6.58333333333333,-1.34416666666667,67,"We","A",2,"F","Trial 1",1,"Generic"
"CG_23",6.66666666666667,-1.26083333333333,67,"We","B",2,"M","Trial 1",1,"Specific"
"CG_41",6.66666666666667,-1.26083333333333,67,"You","B",2,"F","Trial 1",1,"Specific"
"CG_54",6.66666666666667,-1.26083333333333,67,"You","B",2,"F","Trial 1",0,"Specific"
"CG_1",6.75,-1.1775,67,"We","A",2,"F","Trial 1",1,"Generic"
"CG_42",6.75,-1.1775,67,"We","A",2,"F","Trial 1",1,"Generic"
"CG_58",6.75,-1.1775,67,"We","B",2,"M","Trial 1",1,"Specific"
"CG_75",6.75,-1.1775,67,"We","B",2,"M","Trial 1",1,"Specific"
"CG_101",6.83333333333333,-1.09416666666667,67,"We","B",1,"M","Trial 1",1,"Specific"
"CG_45",6.83333333333333,-1.09416666666667,67,"You","A",2,"M","Trial 1",1,"Generic"
"CG_88",6.91666666666667,-1.01083333333333,67,"You","B",2,"M","Trial 1",1,"Specific"
"CG_91",6.91666666666667,-1.01083333333333,67,"We","B",2,"F","Trial 1",1,"Specific"
"CG_94",6.91666666666667,-1.01083333333333,67,"You","A",1,"F","Trial 1",1,"Generic"
"CG_49",7,-0.9275,67,"We","B",2,"F","Trial 1",1,"Specific"
"CG_53",7.08333333333333,-0.844166666666667,67,"You","A",2,"F","Trial 1",1,"Generic"
"CG_93",7.08333333333333,-0.844166666666667,67,"You","A",2,"F","Trial 1",1,"Generic"
"CG_60",7.16666666666667,-0.760833333333333,67,"We","A",2,"M","Trial 1",1,"Generic"
"CG_21",7.25,-0.6775,67,"We","A",2,"F","Trial 1",1,"Generic"
"CG_16",7.33333333333333,-0.594166666666667,67,"You","A",2,"M","Trial 1",1,"Generic"
