review_id,user_id,business_id,chain_key,chain_name,city,state,stars,date,text,useful,funny,cool,item_label,target_canonical,control_canonical,sent_label,sent_score,sent_valence,sensory_mention,texture_specific,environmental_mention,target,month
V8dVnEHMdDNxCX6yFFam2Q,HjMKmLryj5emWPXcpBvt6Q,L7i_5DydYEKwPLfcDBRYDA,chipotle,Chipotle,Voorhees,NJ,5,2017-05-13T14:09:53Z,"This Chipotle location was great! I wanted to thank Chipotle for recognizing teachers for Teacher Appreciation Week! 
The line was very small and they served quickly as a pose to another location that had the line wrapped around the store! 
Their food is always fresh, tasteful and fulfilling! 
My go to is always the bowl with white cilantro lime rice,black beans, steak and all the toppings! 
Must eat with a bag of fresh tortilla chips!!",0,0,0,control,Sofritas,Carnitas or Steak,positive,0.9874405860900879,0.9874405860900879,1,0,0,0,2017-05
22ktCUgPcosvH2RYbmQUlQ,0hYyNTbz7qxfSvuAQ_Tesg,0xe81EigRw_b5W8tg0Ca6Q,kfc,KFC,New Port Richey,FL,3,2017-01-02T16:10:31Z,"Although the chicken is always very good, there was a ""sulky"" male employee on Sunday, Jan 1 with a puss-face putting my package together 16 pc grilled chicken meal.  Out in the open he was complaining about work.  Honestly, if he doesn't like working there or the pay, the manager should allow him to make a decision, change his attitude or leave.  This doesn't leave customers with a positive feeling about the place, especially when he didn't load all that was supposed to be in my order.  Where's the rolls/biscuits?  Pay attention, it doesn't cost anything.",0,0,0,control,Beyond Chicken,Chicken / Nuggets,negative,0.8398195505142212,-0.8398195505142212,1,0,0,0,2017-01
7hg7Q6yvDmSKKz1JoJL9DQ,VG-toQE2YcjDlmgvLni2ew,1ol8rghO_5m0M5WFMv-C8Q,kfc,KFC,Sparks,NV,4,2016-05-07T04:00:45Z,I was hoteling nearby and was hankerin' for sum friiiiied chicken!   Did the drive thru 05.06.16 and found no reason to fault them for food or service.  Ordered the #10 box meal + add a breast.  Comes w/ drink.  The visit hit the spot and was very typical of the experience I've had at several other KFC's.  My service was fast & friendly.  Employees on point.  Ringin' the bell as I leave like at Long John Silver's.  Good job crew!,1,0,0,control,Beyond Chicken,Chicken / Nuggets,positive,0.8237489461898804,0.8237489461898804,0,0,0,0,2016-05
batVbBszzQuw3LNR10pETw,BrhwZCoV-kd5JbV8G6gHLw,AmnnsJq4Pz1jJUFzHwtsOA,chipotle,Chipotle,Indianapolis,IN,4,2013-06-24T07:38:03Z,"Can't believe I haven't tried Chipotle until today!  Me and my girlfriend decided to go for dinner this evening, and from what she told me I was pretty excited.  As you walk in and approach the counter you can see the different protein choices, salsas, rice, etc.  I decided to go with a burrito with white lime-cilantro rice, black beans, steak, pico de gallo, and cheese.  The burrito was massive, and was less than 7 dollars!  Ingredients all tasted fresh, very refreshing.  I honestly can't wait to go again!  My only complaint is that the chips we shared were stale, and horribly over salted.  4 stars.",0,1,0,control,Sofritas,Carnitas or Steak,positive,0.9536296725273132,0.9536296725273132,1,1,0,0,2013-06
YGeKk1hEAu87_jvYdoCSSQ,5YunAjG2P9GA6XTJPosbBw,cLY7TxgdJCiGrD2C8DMEew,kfc,KFC,Pinellas Park,FL,4,2015-08-30T15:06:41Z,"Do not ever go to a Fried Chicken Joint and complain about the side dishes, especially the standard factory cans of commercial puddings ? lol. who does that ? The Pinellas Park eatery is a place to GORGE yourself on all the Chicken you can eat ! Do it and do it well.",0,0,0,control,Beyond Chicken,Chicken / Nuggets,neutral,0.3611026406288147,0,0,0,0,0,2015-08
kovzit5Cz4IO1QvfphGS0w,8qUrDR00YG1JnShMXxXnOg,rZZ6gtsqBVkpSLoZ9EZ_1A,kfc,KFC,Oldsmar,FL,1,2015-12-21T15:29:20Z,"Oh boy... why do I continue to torture myself with this KFC location? After 2 months of a diet I allow myself a cheat day and I stupidly (Why God, why?) pick this location for a fried chicken craving I had. Firstly, more than half the time my wife and I have been to this location they are always ""out"" of the extra crispy all white which is my go to order. It doesn't matyter the time of day OR day of week, ""Sorry sir, we just ran out"". How and WHY does this happen on a continual basis. Well, this time my wife had the forthought of recording the conversation in the drive thru. Sure enough, the female employe started with the ""Sorry maam, we don't have that enymore"". Well, someone must have seen my wife holding the cellphone up to the speaker box through the mirror because  another man started yelling something in the background and the lady said, ""Excuse me maam, we DO have some, if you'd like to wait 10 minutes we'll get it for you."" My wife said ""yes"" and waited for the order..... Well, WTH! She brought the order home, I opened the box and Yippie, a 3 piece ALL white freaking ORIGINAL recipe. Seriously? My wife felt horrible she didn't check the order before leaving but after all of that didn't feel it was necessary, and you know what, she shouldn't have to. Raise the minimum wage for fast food workers to $15 my %^#  !!!",1,0,0,control,Beyond Chicken,Chicken / Nuggets,negative,0.8761582374572754,-0.8761582374572754,0,1,0,0,2015-12
Zw-k5Cp97FkuschbFOpXEA,5IUTpVAk2h3PMP3fCqb0sQ,ejEfdVaby6WbpB1XXlq2PQ,white_castle,White Castle,Indianapolis,IN,3,2017-09-10T09:20:26Z,"I hit the drive-thru at this White Castle last night with my aunt on our way home from Carmel. I was starving and it hit the spot. 

Our order was taken right away and in a friendly manner. The food seemed to take several minutes, but was hot and fresh and worth the wait. It was my first time trying the new veggie sliders. They aren't THE best veggie burgers I have ever had, and are quite high in calories from what I hear, but were good. I appreciate that White Castle started offering these for the cravers that no longer do meat.

The only small disappointment was that when we were asked if we wanted sauce, what kind of sauce I do not know, I requested mustard on my sliders and that was left off. There also were no napkins or salt in the bag. It was hard to tell my veggie slider from my aunt's fish sandwich digging in the bag in the car. The large portions on our medium fries made up for it though as well as being a quick and convenient place for someone like me to grab a meal on the run that contained some much needed protein.

Service was friendly and the restaurant seemed clean. It appears to be either a newer store or a very well-kept one. Bonus was seeing one of the Indy chicken limos down the road.

Updating to say, while good tasting, the food I had did not sit quite right with me.  It was possibly that I'm not used to greasy combined with being out of sorts lately. Tastes good, but I may need antacid or something next time.",0,0,0,control,Impossible Slider,Slider,positive,0.8555205464363098,0.8555205464363098,1,0,1,0,2017-09
nS_PY3gWNJnwldVXyyrE-A,31waNaA_W9uTuLlS0z8Y0A,bKgyXSQUGA8IHGt8ne5NuA,chipotle,Chipotle,Reno,NV,1,2016-09-06T05:19:35Z,"We received a coupon for a buy one-get-one, so we decided to try this place. We go to Qdoba all the time, so I thought this would be a similar experience. 

Service: All of the staff we interacted with, while placing our food order, were very polite and upbeat. We took our food to go as we live a two minute drive away. 

Food: I ordered a chicken burrito bowl and my husband ordered a steak burrito with fajita veggies. I was eating in the home office and bit into quite a few cold chicken pieces. I ate around the chicken as I have an unnatural fear of food poisoning. We live very close to the restaurant, so either the container the chopped chicken in was cold, or the meat was not cooked all the way. I went to go check on my husband in the living room and he stopped eating all together. Half way through his burrito, he found a 4 or so inch long brown hair. Yay for finding hair in your food! I asked him if he wanted me to call the restaurant and he said no. He just tossed his food, as did I. 

Four hours later and my stomach is still not agreeing with me. So, go to Chipotle with caution... At least the staff was nice.",4,0,0,control,Sofritas,Carnitas or Steak,positive,0.5103017687797546,0.5103017687797546,1,0,0,0,2016-09
DGKX_0EB-GtZyPRW9n-6Zw,Zn5zLzptXYtJA9muBOiNLQ,1ol8rghO_5m0M5WFMv-C8Q,kfc,KFC,Sparks,NV,1,2016-01-30T20:38:42Z,"We don't eat at KFC very often. I had the lame idea of trying it again. First off, the cashier, Michelle, had a SERIOUS attitude problem. Rude as the day is long. No smile, no hello, no thank you. Looked like she really hated her job. We told her our food was dine-in. It was put in a to go bag, no plates, butter, sporks, etc. I didn't dare ask for plates. Chicken was under-cooked. Slaw and potatoes were OK. Biscuits fair. Are we going back? NOPE!!! Bad attitudes don't fare well with me.",0,0,0,control,Beyond Chicken,Chicken / Nuggets,negative,0.8836909532546997,-0.8836909532546997,1,0,0,0,2016-01
9yRn38Vp9G8ftCW2iwBQJw,7sdq036l7Mbbx56V69L1yw,YhQAQhG1IkXJH7oLZMbM9w,del_taco,Del Taco,Sparks,NV,5,2018-02-24T19:01:01Z,"I just love to dispel a trend of bad reviews! We stopped in at this Del Taco despite a series of bad reviews and we are glad we did! We wanted to try their fish taco special at two for three bucks. We were not expecting much. First let's discuss the product. The fish fillet was about the size of a wiener cut in two. A little on the smallish size. It was wrapped in two small corn tortillas. Tasted great,not greasy, beer battered. Special price so I bought six for a total of nine bucks, we were stuffed!
    Let's talk about the wait help, in this case Trent. What a jewel! A tremendous asset to any business! He welcomed us quickly and efficiently! A tittle talkative but in a very good way! The tables were clean,the food served quickly and tasty! Five stars for sure!",0,0,0,control,Beyond Taco,Beef Taco,positive,0.9097309112548828,0.9097309112548828,1,0,0,0,2018-02
