,mixedtrait,mixedpost,mixedvalue,ethnic,age,gender,edu,income,response,coding
1,3,2,5,1,23,1,4,8," I would probably be stressed if I was busy, but maybe a good kind of stressed depending on what I'm busy with. I'd probably also feel tired and drained if I was busy.",1
2,2,1,8,1,28,1,3,5,A social expectation to be busy would make me feel stressed. I would feel like I was being forced into a competition for something I have no passion for. I would end up feeling exausted and unfulfilled.,0
3,4,4,7,0,27,1,2,2,"As someone who feels tired and depressed most days, I personally experience annoyance at the societal expectation for people to always be busy. I believe that most people are TOO busy with work, chores, taking care of kids, etc. that they have no time to just relax and enjoy life.",0
4,3.666666667,4.333333333,2.5,1,22,0,1,5,"Because of these expectations, I often feel proud when I stay busy, even if I haven't really accomplished anything. Logically, I feel it should not be this way, but societal expectations have made me feel this way. I hope that it will not always be like this.",1
5,1.333333333,3,4,0,23,0,2,5,"Being bussy makes me feels stressed out because I have no time to relax. It makes me feel restless and with no energy. In addition, this social expectation makes me feel pressured. I feel constraint; like I cannot be myself or who I want to be.",0
6,3.666666667,3.333333333,5.5,0,24,1,3,4,"Concerning the social expectation to be busy, I feel annoyed and irritated that others impose such expectations on others. At the same time, I feel slightly understanding since sometimes I find myself thinking it's helpful to be busy in some cases. I feel more nonchalant when it comes from close friends rather than if it comes from institutions or acquaintances. Times when this expectation was imposed on me, I felt pressured and stressed at times.",1
7,3,2,5,0,29,0,1,5,"Emotions that I would feel from this social expectation is most likely irritation. I am someone who is pretty productive but I do like to have free time to myself and away from others. If it were a requirement that I follow this expectation though, then I may definitely feel stressed and exhausted. I would not want to be a part of that society.",0
8,2.833333333,2.833333333,5.5,1,29,0,3,5,Feeling busy all of the time would stress me out. I think there is a distinction between being productive and being overworked. If I am constantly expected to go above and beyond then I would get anxiety at the fear that im not doing enough even during times when it is not warranted. The expectation should be to finish whatever job that is required of me but not to be busy just for the sake of staying busy.,0
9,2.166666667,2,6,1,27,0,3,7,"Feelings that come to mind with the expectation listed above are stress and pressure. Being a young professional in this society, I feel that if I am not always busy, it creates feelings of laziness. There is a pressure that builds in you and your subconscious that always brings thoughts that you can be doing more. And if you are not doing more, then there is someone out there like you who wants your position or the promotion you want that is working while you have decided to stop and this creates even more stress.",0
10,3,2.5,3.5,0,26,0,1,1,"Honestly, I feel exhausted most of the time and can't help but wonder if all this necessary. The more technological advancements in the workplace I see the more stressed and pressured I feel to have more resources and a better job.",0
11,5,4.5,2,1,25,0,2,1,I'd mostly feel stress. I'm not very good at hustle culture. I tend to try to avoid increasing stress in my life. I'm not very driven. I don't like cultures that exploit people for their work ethic.,0
12,4.5,4,2,0,28,1,4,5,"I already know I would feel anxiety and stress with this social expectation to be busy. I like the feeling of being in demand, but at the same time, it would weigh on me mentally.",1
13,3.5,5,2,1,22,1,2,2,"I am a bit nervous and second guessing what I am typing. I feel kind of happy because usually I am good at multitasking and getting things done pretty quick. I am experienced in moving and working quickly, so I know that I got this, and am sort of confident, but nervous that I will fail.",1
14,3,4.333333333,5,1,23,1,3,5,"I am actually constantly busy at work. It makes my boss value me more as an employee and a member to my company, however, it does make me feel stressed and anxious. It's a double edged sword because I feel like I constantly need to be busy to be valued. That isn't the case though. Whenever I'm not busy at work, I worry that people view me as less.",1
15,3,1.666666667,3,1,27,1,5,8,I am confident with the expectation to always feel busy. I like always being busy and the stress that may bother others does not bother me. I am confident in my ability to prioritize and ensure that everything gets done. I believe that being busy makes the day go by faster.,0
16,3.833333333,4.333333333,6,1,28,0,5,5,"I am totally fine with the expectation to be seen as ""busy"". I only care what people view me as on a surface level because that is all that most people will see. If I am able to consistently meet and exceed what the expectations of society are then I will be happy then I will be happy because I will be free to do whatever I want in the time that no one sees me. It is a win win situation for me.",0
17,3.333333333,3.666666667,2,1,23,1,3,2,"I definitely agree that there is immense social expectation and pressure to be busy. I constantly feel as though I need to be doing something productive. If I ever take even a little bit of time for a break or to do something fun, I feel guilty and like I don't deserve a break. I feel like I need to keep working. At the same time, though, constantly working and trying to be busy makes me exhausted and stressed out. But if I'm not busy, I feel stressed because I start to think that I'm not doing enough or I'm being lazy. I find it difficult to find a balance between work and leisure.",0
18,3.666666667,3,5,1,24,1,1,8,"I don't appreciate social expectations to be busy.  I feel there should be a clear separation of work and private life.  What I do on my own time is no one else's business and their judgements about it are meaningless.  At work, I will work as much as is need to fulfill the specifications of my job and no more (unless there is some other benefit).",0
19,2.833333333,2.166666667,5,1,29,1,2,2,I don't feel anything because I do not care. I mind my own business and bop around doing my own thing all the time. I am probably more busy than anyone I know and I get things done. Indifference should be my middle name.,0
20,3.666666667,4,4,1,25,1,3,3,"I don't like feeling busy. When I feel busy, I feel like there's stuff I'm missing, or things I'm forgetting. I like to take things at my own pace. When things feel busy, it also feels rushed.",0
21,5,5,3,1,28,1,3,1,"I feel a lot of anxiety and depression about the expectation to be busy. I have mental health issues that keep me from even working a part-time job in a stable manner, so I feel utterly lazy compared to the rest of the population. I also feel a bit of jealousy that people have the energy to be so busy. I feel like I can't live a full life in our current society because I can't keep up with the quick pace of everything.",0
22,5,5,9,1,24,1,3,1,I feel fine when I am busy because it means I am distracted.,0
23,2,1,6,1,28,1,2,4,"I feel frustrated about the expectation to feel busy.  It is not a bad thing to have a break.  In fact, breaks can be very beneficial for work.  I am frustrated that our society sees not being busy as being lazy and uninterested.  Being busy all the time just stresses me out.",0
24,3.333333333,2.5,6,0,28,1,3,5,I feel immensely pressured and stressed. I don't like to feel this way and I naturally feel the urge to tell them to screw off.,0
25,3.166666667,3.166666667,5,1,26,0,3,5,I feel it takes advantage of the worker to some extent. Workers are expected to be busy at all times and therefore productive all jobs when in reality this isn't realistic. I currently work such a job and it's exhausting and wears down on you physically and mentally.,0
26,2.666666667,2.833333333,6.5,0,19,1,1,8,"I feel like I'm not doing enough with my life. I feel like everyone else is involved in so much and I never really do anything, and a lot of the time I just sit in my room all day. I feel like I never get anything done and that makes me feel like a failure and like everyone else is ahead of me in life and are doing better than me. I feel inadequate and ashamed and feel like I'm disappointing my parents.",0
27,2.666666667,3.666666667,7,0,28,0,1,6,"I feel like life is about balance. I'm not really concerned about somebody else's social expectations on how I should live my life. Life these last 5 years have felt exactly as described, too fast, everybody moving at the speed of light, and not taking the time to enjoy themselves, the beautiful things around them, and even the little things that makes your day complete. I personally try to take the time more often, and to work hard and be consistent with my work, but also take the time to take a step back and look and enjoy the fruits of my hard work and labor.",0
28,2.166666667,2,3.5,0,29,1,2,3,I feel like there is always a want for us to be busy and doing things. the whole day calls for our attention. I do not like it. I enjoy time alone and to myself to think and process the day. I love to be alone for hours and have quiet or things exactly like I need them to be for me. Others do not understand.,0
29,3,3,5,1,28,0,3,7,I feel like we have this defined construct that people feel they always need to be busy. Sometimes downtime is invaluable to worth just as much as hard work.,0
